"","Hour_Delay","Security_o","Airport_Distance","Number_of_flights","Support_Crew_Available","Weather","Baggage_loading_time","Late_Arrival_o"
"65",0,32,452,41761,105,6,17,18
"66",0,34,456,38939,127,5,16,18
"67",1,39,431,42880,140,6,18,19
"68",0,41,412,40863,147,6,16,17
"69",1,38,447,42236,116,5,17,20
"70",1,53,453,45959,42,6,17,19
"71",0,26,418,39152,136,5,16,18
"72",0,32,424,38334,166,5,16,18
"73",0,32,439,43504,73,5,17,19
"74",1,27,497,44430,66,5,17,18
"75",0,34,438,40927,105,5,16,17
"76",0,49,437,44379,57,5,17,18
"77",1,50,427,48776,110,5,18,20
"78",0,31,436,42387,122,5,16,18
"79",1,35,434,43486,68,6,17,19
"80",0,29,444,39018,162,5,17,18
"81",1,30,445,44210,58,6,17,18
"82",1,26,464,45914,37,5,18,19
"83",1,40,460,47124,119,6,17,19
"84",1,34,457,46471,78,6,18,19
"85",1,39,445,44860,79,5,17,19
"86",1,29,432,43804,87,6,17,18
"87",1,38,466,44153,126,5,18,19
"88",0,37,471,42556,81,5,17,18
"89",1,55,453,42034,138,5,17,18
"90",0,49,447,43684,145,6,17,18
"91",1,41,422,46407,102,6,17,20
"92",0,32,433,45740,77,5,17,19
"93",1,39,449,47524,36,5,18,19
"94",0,28,453,38996,52,6,16,18
"95",1,34,454,43704,123,5,18,19
"96",1,33,416,44192,46,6,17,20
"97",1,45,455,43507,48,5,17,18
"98",1,35,441,47862,134,5,18,20
"99",1,40,422,50365,88,5,18,20
"100",1,30,441,43815,55,6,17,20
"101",0,45,399,42572,150,5,16,19
"102",0,32,420,38499,113,5,16,18
"103",1,43,449,44579,105,6,17,18
"104",1,33,433,42057,52,5,17,19
"105",1,43,441,44111,105,5,17,18
"106",1,31,432,45031,50,5,17,19
"107",0,33,451,41201,105,6,16,18
"108",0,30,456,41446,93,5,17,19
"109",0,36,435,43374,135,6,16,20
"110",1,30,457,44246,151,5,17,19
"111",0,34,462,43453,102,5,17,18
"112",0,29,413,34943,184,6,16,16
"113",0,48,431,42470,110,6,16,18
"114",1,39,456,42894,146,5,17,18
"115",1,21,454,41589,63,6,18,18
"116",1,32,452,48188,66,6,18,19
"117",1,34,421,44691,105,5,18,19
"118",1,41,457,46810,105,6,18,19
"119",1,44,441,46204,58,5,17,19
"120",1,39,434,44322,31,5,17,19
"121",1,44,441,44389,127,5,17,19
"122",0,32,440,42768,55,5,16,19
"123",0,36,422,40288,69,5,16,18
"124",1,34,461,46613,103,5,17,19
"125",1,31,450,45586,128,6,17,18
"126",1,51,443,41000,1,6,17,19
"127",1,45,438,43875,89,6,17,19
"128",0,30,419,43482,32,5,16,18
"129",0,36,467,43803,164,5,17,19
"130",1,28,416,42951,74,5,16,18
"131",1,37,457,44384,65,6,18,20
"132",0,35,414,39823,159,5,16,18
"133",0,54,431,39322,8,5,16,19
"134",0,42,439,40438,135,5,17,18
"135",0,26,412,42325,142,5,16,17
"136",1,32,431,44174,79,6,18,20
"137",0,42,454,40915,159,5,17,18
"138",0,32,423,39496,109,5,16,19
"139",1,55,450,47162,42,5,18,19
"140",0,36,442,46261,95,5,17,19
"141",1,35,475,47080,50,6,17,19
"142",0,42,443,40703,62,5,16,18
"143",0,30,457,40498,87,5,17,18
"144",1,44,469,43951,44,5,17,19
"145",0,41,416,37055,165,5,16,17
"146",0,47,438,41098,77,5,17,19
"147",1,30,439,44447,116,5,17,19
"148",1,45,452,45841,36,6,18,19
"149",1,29,417,42902,77,6,17,19
"150",0,35,454,40637,122,5,17,18
"151",1,31,415,41731,46,6,17,19
"152",0,42,422,36944,143,5,16,18
"153",1,38,466,45092,70,5,17,19
"154",1,34,435,45130,95,5,17,19
"155",1,25,416,44928,79,5,17,18
"156",0,34,434,43265,68,5,17,19
"157",1,40,421,43910,19,5,17,19
"158",0,29,450,37693,72,5,17,18
"159",1,38,441,44453,94,5,17,18
"160",1,34,464,46411,39,6,18,20
"161",1,38,455,47220,112,6,18,19
"162",0,46,417,38341,98,5,15,18
"163",0,34,433,40420,119,5,16,18
"164",1,38,439,46077,66,5,17,20
"165",1,43,459,44652,59,5,17,19
"166",0,24,411,43671,72,6,17,18
"167",1,24,459,45435,57,6,18,19
"168",1,38,459,39843,96,6,17,19
"169",1,41,449,45750,67,6,18,19
"170",1,47,442,46524,41,6,18,20
"171",1,36,456,45521,51,6,17,19
"172",0,36,416,43882,58,5,17,18
"173",1,40,435,46012,47,5,17,19
"174",1,25,438,45657,44,5,16,18
"175",1,43,449,48162,22,6,17,20
"176",0,35,413,40564,100,5,16,19
"177",0,33,424,40742,98,6,17,18
"178",0,39,444,41325,64,5,17,19
"179",1,42,430,44178,99,5,17,18
"180",1,47,445,40809,25,5,18,19
"181",0,30,438,41607,143,6,17,18
"182",0,34,423,41117,92,5,16,19
"183",0,50,440,40862,217,5,16,18
"184",0,33,439,43486,76,5,17,19
"185",0,42,408,37948,80,6,16,17
"186",1,54,475,43179,70,6,18,19
"187",1,38,461,50265,75,5,18,20
"188",1,34,458,44563,27,5,18,19
"189",0,35,430,37899,134,6,15,18
"190",0,32,450,39149,38,6,17,19
"191",0,30,452,41310,1,5,17,19
"192",1,43,474,45442,70,5,18,19
"193",1,30,439,47585,52,5,18,18
"194",1,36,459,41236,118,5,17,19
"195",0,36,410,39259,130,5,16,18
"196",1,32,438,43817,95,6,17,18
"197",0,30,408,39958,83,5,16,18
"198",1,45,418,44504,55,5,17,20
"199",1,44,447,45528,68,6,18,19
"200",1,39,446,42086,67,6,17,20
"201",0,29,424,41437,108,5,17,18
"202",0,27,440,41936,98,5,16,18
"203",1,36,423,44597,109,6,17,19
"204",1,42,454,43438,70,5,18,19
"205",1,35,453,42816,140,5,17,19
"206",1,30,478,43556,14,5,17,19
"207",1,44,468,42750,102,5,17,19
"208",0,45,423,43449,201,5,17,18
"209",1,30,456,43003,115,5,17,19
"210",0,39,427,41060,97,5,16,18
"211",0,32,435,42131,60,5,16,18
"212",1,45,453,44915,51,6,18,20
"213",0,37,419,42726,30,5,16,18
"214",0,47,431,43413,99,5,17,18
"215",1,24,452,48389,88,6,18,20
"216",1,30,440,46978,36,5,18,20
"217",0,32,425,41679,146,5,16,18
"218",1,31,462,44795,136,6,17,19
"219",0,34,426,42930,76,5,16,18
"220",0,47,429,45709,115,5,17,19
"221",1,36,428,42923,42,5,17,19
"222",1,45,478,44274,100,5,17,19
"223",1,31,447,45113,73,5,17,19
"224",1,39,466,42839,84,5,17,19
"225",1,39,441,44602,117,6,17,19
"226",1,41,466,45764,10,5,17,19
"227",0,37,412,44910,87,5,17,18
"228",1,34,454,46185,132,6,17,19
"229",1,37,416,46512,43,5,18,20
"230",0,41,433,40438,59,5,16,18
"231",0,49,423,41621,132,6,17,18
"232",1,48,440,46439,107,5,17,19
"233",0,32,448,38015,148,5,15,17
"234",1,34,444,44284,59,5,17,19
"235",1,36,431,43712,43,5,17,19
"236",1,36,441,43766,81,6,18,20
"237",0,40,412,36038,154,5,16,18
"238",1,38,475,43512,51,6,17,19
"239",1,36,471,45465,31,6,18,19
"240",1,37,473,46666,85,5,18,18
"241",1,38,451,43019,80,5,18,19
"242",0,33,445,41756,111,5,16,19
"243",0,28,428,43092,31,6,16,19
"244",1,41,443,43924,48,6,17,20
"245",1,42,442,44299,59,5,18,19
"246",1,39,476,42534,148,5,17,18
"247",1,33,454,43317,87,5,18,19
"248",1,41,435,43761,85,5,17,20
"249",1,42,410,44537,62,6,17,19
"250",0,33,413,35093,138,5,15,18
"251",1,38,461,49966,114,6,18,20
"252",1,29,446,45429,63,5,17,19
"253",1,31,469,42128,94,5,17,20
"254",1,43,446,47775,75,6,17,19
"255",1,38,420,42628,97,6,17,19
"256",0,42,433,41528,109,5,17,18
"257",0,34,439,41249,96,5,17,19
"258",1,35,463,42950,74,5,18,20
"259",0,56,413,41130,84,5,17,18
"260",1,48,452,50573,67,5,18,20
"261",0,39,452,44146,118,5,17,19
"262",1,32,450,45206,83,5,18,19
"263",0,32,425,38106,124,5,16,19
"264",0,38,441,41634,166,6,17,17
"265",1,33,412,46591,66,6,18,20
"266",0,47,439,42836,92,5,17,18
"267",1,23,459,45581,107,6,17,19
"268",1,41,460,40970,33,5,17,19
"269",0,33,450,41356,121,5,16,19
"270",1,47,432,45457,154,6,17,18
"271",0,41,444,39480,75,6,17,18
"272",1,47,398,43826,132,5,17,19
"273",0,42,466,42404,111,6,17,17
"274",0,51,428,41764,115,6,16,19
"275",1,35,437,46428,8,5,18,20
"276",1,27,440,41680,78,5,17,20
"277",1,47,438,44246,74,5,17,19
"278",1,31,432,44191,103,5,17,18
"279",1,39,448,43332,77,6,17,19
"280",0,44,446,44241,97,5,17,19
"281",1,34,439,44755,62,5,18,20
"282",1,37,459,43554,71,6,18,19
"283",0,43,418,40521,73,5,16,18
"284",1,31,453,45740,24,6,18,20
"285",0,43,435,40919,186,5,17,18
"286",1,23,445,45924,152,5,17,18
"287",0,36,423,39446,108,5,17,18
"288",1,27,439,44390,43,5,17,19
"289",0,37,441,43000,132,5,16,18
"290",0,29,450,40500,84,5,16,19
"291",0,41,432,43012,92,5,16,18
"292",1,39,417,39994,70,5,17,19
"293",1,29,489,49079,60,6,18,20
"294",1,39,435,43932,98,5,18,19
"295",1,34,457,49194,83,5,18,19
"296",0,38,435,42204,78,5,16,20
"297",0,42,415,37515,132,6,16,18
"298",1,46,439,41726,42,5,17,19
"299",1,48,474,45995,88,6,18,20
"300",1,37,476,49145,174,6,18,19
"301",0,40,451,42012,88,5,16,19
"302",0,36,440,40758,61,5,16,18
"303",0,38,429,45387,74,6,17,18
"304",0,32,395,36185,124,5,15,17
"305",1,37,454,40211,75,6,17,18
"306",1,32,439,39238,80,6,17,19
"307",1,37,444,45425,141,6,17,19
"308",1,21,436,45288,76,6,17,19
"309",0,32,445,39766,88,5,17,18
"310",0,41,429,39446,50,5,17,19
"311",1,28,441,46204,110,6,17,19
"312",1,40,435,41339,64,6,17,19
"313",1,34,440,41695,53,5,17,18
"314",1,26,437,42696,87,5,17,18
"315",1,33,435,45026,69,6,18,19
"316",0,41,437,40959,122,6,16,18
"317",1,42,461,48148,106,6,18,20
"318",1,38,454,44818,48,6,18,19
"319",1,42,463,48193,1,5,18,20
"320",0,41,425,40571,91,5,17,17
"321",0,31,462,40000,47,5,16,18
"322",1,37,486,46053,48,5,17,19
"323",1,32,441,44205,86,5,17,18
"324",1,30,425,44302,98,5,17,19
"325",1,46,431,45773,52,6,17,20
"326",1,38,483,44511,61,5,17,19
"327",1,46,466,48271,65,5,18,19
"328",1,35,434,44227,115,5,17,19
"329",1,48,462,44907,77,5,17,18
"330",1,42,480,49174,65,6,18,20
"331",0,50,429,36591,53,6,16,18
"332",0,38,439,43364,80,5,17,19
"333",1,20,414,45277,132,6,18,19
"334",1,33,456,49235,38,6,18,19
"335",0,44,436,38711,6,5,16,18
"336",0,44,413,38356,98,5,16,18
"337",1,19,441,46767,90,5,16,19
"338",1,36,424,42310,120,6,17,19
"339",1,49,449,44057,72,5,17,19
"340",1,38,438,44119,144,5,17,18
"341",0,43,433,41726,91,5,17,18
"342",0,41,394,38650,134,5,17,17
"343",0,43,430,42044,47,5,16,18
"344",1,52,426,45105,108,5,17,19
"345",1,35,439,41221,77,6,18,19
"346",1,48,422,45323,51,5,17,19
"347",1,45,484,43757,153,5,17,19
"348",1,39,432,46516,79,5,17,19
"349",0,29,412,37861,131,5,15,17
"350",0,35,428,42962,76,6,17,19
"351",1,43,424,41382,151,5,17,18
"352",1,37,435,46988,59,6,17,20
"353",0,39,408,41991,165,5,16,18
"354",1,48,473,43430,6,6,18,19
"355",0,37,425,42576,103,5,16,19
"356",1,39,450,47447,27,5,18,19
"357",1,43,420,43916,77,5,17,21
"358",0,29,438,42298,82,5,16,18
"359",0,21,431,42801,97,5,17,18
"360",1,35,466,45217,49,6,18,21
"361",1,47,453,46679,23,5,18,19
"362",0,30,413,39793,74,5,16,17
"363",1,31,458,49975,85,5,18,20
"364",1,47,441,47059,86,5,17,20
"365",0,25,435,39413,73,5,16,19
"366",0,33,420,42437,122,5,17,18
"367",0,37,426,39051,119,5,16,18
"368",1,38,424,43612,89,5,18,19
"369",1,32,422,44869,59,5,17,19
"370",1,33,436,43643,59,5,17,19
"371",0,44,438,42573,32,5,17,17
"372",1,39,423,46506,4,5,18,19
"373",1,33,450,44442,106,6,18,19
"374",1,33,447,44258,91,6,16,20
"375",0,39,469,41113,85,5,17,19
"376",0,33,458,42091,96,5,17,18
"377",1,43,427,44676,81,5,17,19
"378",1,42,416,40239,149,5,17,19
"379",0,28,434,43130,103,5,17,18
"380",1,52,437,41822,150,5,17,19
"381",0,28,438,38604,99,5,16,18
"382",1,39,461,45610,90,6,17,19
"383",1,38,458,45925,36,5,18,20
"384",1,34,471,45066,47,6,17,19
"385",1,38,424,44484,66,5,17,19
"386",1,45,461,44395,50,5,17,18
"387",1,27,437,44432,91,5,17,19
"388",1,29,433,46984,113,5,18,20
"389",1,47,463,43648,85,6,18,19
"390",0,34,437,42848,42,5,17,19
"391",1,36,423,45154,81,5,17,18
"392",1,36,463,48994,98,6,18,19
"393",1,42,435,44963,44,5,17,19
"394",1,33,442,48816,73,5,18,19
"395",1,47,462,48129,46,6,18,19
"396",0,58,417,37078,110,5,16,16
"397",1,37,448,46889,117,5,18,20
"398",0,46,458,41219,93,6,17,18
"399",1,40,431,43342,12,6,18,20
"400",1,45,438,46675,124,5,17,19
"401",1,36,481,44182,81,5,18,18
"402",1,39,451,45697,8,6,17,18
"403",0,19,414,38754,112,5,17,18
"404",1,40,412,46675,67,5,17,20
"405",1,42,454,44376,77,5,17,20
"406",1,32,440,43721,79,5,17,20
"407",1,40,442,44095,30,6,17,19
"408",1,33,451,43292,115,5,17,20
"409",1,37,455,43688,73,5,17,18
"410",0,39,416,38738,99,5,16,18
"411",1,40,430,45229,47,6,18,20
"412",1,38,445,43386,150,6,18,19
"413",1,44,439,43895,87,6,18,20
"414",0,30,413,38313,120,6,15,18
"415",0,20,450,42256,111,5,16,18
"416",0,40,435,42033,41,5,16,19
"417",0,29,410,45795,96,6,17,19
"418",0,39,415,35525,165,5,15,17
"419",1,37,462,43117,109,5,17,18
"420",0,44,437,43731,56,5,17,19
"421",1,34,459,47067,71,5,18,20
"422",1,41,456,43912,97,5,18,20
"423",1,35,419,42727,85,5,17,18
"424",1,36,445,42894,115,5,17,18
"425",0,39,426,42692,127,5,16,18
"426",1,40,474,45740,97,6,17,20
"427",0,29,460,41383,143,6,17,18
"428",1,32,455,44816,117,5,17,19
"429",0,31,462,44309,91,5,17,18
"430",0,37,422,34951,177,5,15,17
"431",1,30,419,44616,143,5,17,18
"432",0,41,449,41773,105,5,17,18
"433",1,44,464,42933,112,5,17,20
"434",1,46,449,46657,93,6,18,19
"435",1,42,461,44952,69,6,17,20
"436",1,53,438,45021,129,6,18,20
"437",1,43,457,44905,174,5,17,19
"438",1,38,473,44595,23,5,18,20
"439",0,47,418,41061,66,5,17,18
"440",1,42,457,42784,47,5,17,18
"441",1,42,447,46190,34,6,17,19
"442",0,30,443,43495,127,6,17,18
"443",1,39,435,44948,18,6,17,19
"444",1,39,453,45524,110,6,17,20
"445",0,35,486,42963,134,5,16,18
"446",1,39,443,42962,48,5,17,18
"447",0,32,426,43185,18,5,17,18
"448",0,36,434,41217,141,5,16,19
"449",0,39,450,39462,45,5,16,18
"450",0,40,426,38543,102,6,16,19
"451",1,30,460,42312,50,5,17,19
"452",1,47,449,48094,47,6,17,20
"453",0,41,395,37285,134,5,16,17
"454",0,38,436,42209,153,5,16,18
"455",1,41,433,42667,48,5,17,19
"456",1,35,438,45869,46,6,18,19
"457",1,43,452,45416,81,6,17,20
"458",0,42,427,39892,153,5,16,19
"459",0,27,450,43125,123,5,17,19
"460",1,47,430,45616,75,6,18,20
"461",1,41,470,45097,174,6,17,20
"462",1,32,475,44182,27,5,17,20
"463",0,40,428,40425,145,6,16,18
"464",1,28,456,47035,41,6,18,19
"465",1,38,446,45036,78,5,17,19
"466",0,32,433,41140,90,5,16,18
"467",1,28,445,46452,114,5,18,20
"468",0,46,444,42029,146,5,17,20
"469",1,44,437,48377,111,5,17,18
"470",1,38,453,44650,150,6,17,19
"471",1,13,444,43965,45,5,17,19
"472",1,37,437,41983,89,5,17,19
"473",1,39,446,44662,58,5,17,20
"474",1,32,425,42775,103,6,17,19
"475",1,37,427,41651,82,5,17,19
"476",1,29,450,44940,101,6,18,19
"477",1,28,427,42492,120,6,17,18
"478",1,49,433,49082,56,5,18,20
"479",0,49,422,40140,41,5,16,18
"480",1,46,447,43605,114,5,17,18
"481",1,43,446,44986,67,5,18,19
"482",1,46,443,44600,109,5,17,20
"483",0,42,437,39864,118,5,16,18
"484",1,37,429,42582,120,5,17,19
"485",0,44,439,39152,102,5,16,17
"486",1,27,474,44669,76,5,18,19
"487",0,29,434,40149,151,5,16,18
"488",1,38,425,44771,32,5,17,19
"489",1,46,435,44219,110,6,17,19
"490",1,29,452,42069,57,5,17,19
"491",1,31,460,46812,96,6,18,20
"492",1,31,433,44746,71,6,17,18
"493",0,36,452,41248,86,5,17,19
"494",1,24,432,42486,79,5,17,19
"495",1,39,452,43478,69,6,18,20
"496",1,37,436,47674,73,6,18,20
"497",0,42,420,40731,132,5,16,18
"498",1,46,456,42641,9,5,17,19
"499",1,45,451,47209,89,5,18,20
"500",0,40,453,41275,46,5,16,19
"501",0,30,471,43377,105,5,17,18
"502",0,29,438,43629,60,5,17,19
"503",0,36,424,38695,81,5,16,18
"504",1,44,438,46413,71,6,17,19
"505",1,30,457,43804,96,5,17,18
"506",1,37,455,43056,150,5,17,19
"507",1,24,460,44685,64,6,17,18
"508",0,24,424,39765,111,5,16,17
"509",1,32,455,45223,92,5,17,19
"510",0,42,436,40298,157,5,17,18
"511",1,38,428,41265,67,5,16,18
"512",1,26,452,43549,64,6,18,19
"513",0,30,434,41893,212,5,17,18
"514",0,29,436,38226,192,5,15,17
"515",1,38,451,46812,61,5,17,20
"516",0,47,437,39565,143,6,16,19
"517",1,40,470,46017,73,6,18,20
"518",1,36,444,44402,96,5,17,19
"519",0,39,431,40189,51,5,17,17
"520",0,41,441,43183,44,5,17,18
"521",1,36,433,42550,68,5,16,19
"522",1,32,464,42831,4,5,17,19
"523",1,42,433,41289,71,6,17,19
"524",1,51,448,44280,22,5,17,19
"525",1,49,426,45052,98,5,17,19
"526",0,40,433,43084,119,5,17,19
"527",1,43,451,48547,91,6,18,20
"528",0,28,456,42611,58,6,17,19
"529",1,39,427,41562,145,5,17,19
"530",0,41,439,41780,90,5,17,19
"531",1,47,435,45349,150,6,17,19
"532",1,46,468,41706,55,5,17,19
"533",1,41,454,43761,107,6,17,19
"534",0,36,436,40606,13,5,17,18
"535",0,46,453,39812,167,6,16,18
"536",0,37,423,38965,152,5,16,19
"537",0,20,417,43453,103,5,16,18
"538",1,36,466,41290,66,5,17,19
"539",1,35,452,45254,3,6,18,19
"540",1,45,453,46112,125,5,17,19
"541",0,34,471,41668,74,6,17,19
"542",1,50,437,42792,78,5,17,19
"543",1,36,442,43841,35,5,17,19
"544",1,38,440,49122,64,5,17,20
"545",1,42,444,44381,55,6,17,19
"546",1,44,440,44938,51,5,17,19
"547",1,39,423,43470,86,5,18,19
"548",1,37,466,44352,119,5,18,19
"549",1,47,438,44061,91,6,17,19
"550",1,19,428,45611,33,5,17,20
"551",1,38,451,43576,24,5,17,18
"552",0,36,440,43689,23,5,17,18
"553",1,41,420,45181,91,6,17,20
"554",1,34,454,46920,94,5,18,20
"555",1,21,453,45492,65,5,17,19
"556",1,46,442,44881,46,5,16,19
"557",1,42,436,43123,19,5,17,20
"558",1,41,422,43465,103,5,17,20
"559",1,33,444,45292,20,5,17,19
"560",1,36,453,46656,69,5,17,19
"561",0,24,408,37378,132,5,15,18
"562",1,32,446,45152,53,5,17,19
"563",1,35,466,49736,21,6,18,20
"564",1,44,446,44468,20,5,17,18
"565",0,35,434,44242,139,5,17,18
"566",1,27,428,45117,21,6,17,20
"567",1,35,444,45642,97,6,17,19
"568",1,41,467,46377,101,5,17,19
"569",1,42,446,45459,59,5,17,20
"570",0,35,475,44407,97,6,17,18
"571",0,30,394,38720,156,5,17,17
"572",0,38,413,33783,71,5,15,17
"573",1,34,419,43910,11,6,17,18
"574",1,34,453,43081,21,5,17,20
"575",1,45,431,45932,22,5,18,19
"576",1,30,443,44533,73,5,18,20
"577",0,54,451,41757,126,6,16,18
"578",1,43,466,43029,96,5,16,19
"579",1,33,427,39561,23,5,16,19
"580",1,47,443,42388,37,6,17,18
"581",1,43,447,44245,75,5,18,19
"582",1,45,465,46515,2,5,18,19
"583",1,42,451,46097,60,6,18,19
"584",1,38,460,44835,54,6,18,20
"585",1,46,437,43535,25,6,17,19
"586",1,56,469,47795,100,6,17,18
"587",1,20,454,44451,74,6,16,19
"588",1,27,455,45359,104,5,17,19
"589",0,37,434,42218,64,5,17,19
"590",0,34,434,39979,120,5,16,18
"591",1,45,465,42901,110,5,17,19
"592",1,42,464,41984,159,6,17,19
"593",0,61,448,40650,70,6,17,19
"594",1,35,459,43095,8,6,17,17
"595",1,37,426,40835,8,5,17,18
"596",1,43,458,47537,131,6,18,19
"597",1,23,439,41004,166,5,17,19
"598",0,40,420,35736,127,5,15,17
"599",1,41,443,43592,29,6,17,19
"600",1,37,450,42066,128,5,17,19
"601",0,41,447,41893,103,5,17,18
"602",1,43,445,41246,37,6,17,18
"603",0,45,454,42389,79,5,16,18
"604",0,29,435,40629,126,5,16,18
"605",1,49,458,43221,120,5,17,19
"606",1,40,451,45857,56,6,17,19
"607",1,52,425,43605,71,6,17,18
"608",1,41,469,44428,90,5,17,18
"609",1,40,454,45400,51,5,17,20
"610",1,45,459,44975,76,6,18,20
"611",0,36,431,43756,108,5,17,19
"612",1,35,459,46294,67,6,17,19
"613",1,40,461,45515,55,5,17,20
"614",1,46,462,49676,126,6,17,20
"615",0,32,432,40267,68,5,16,19
"616",0,30,408,40819,113,5,16,18
"617",0,35,425,42210,94,5,16,18
"618",1,46,435,47801,50,6,17,19
"619",0,47,424,41313,10,6,16,18
"620",1,44,442,43380,78,5,17,18
"621",0,33,455,42253,196,5,16,18
"622",1,37,428,40345,181,6,17,20
"623",0,39,453,36906,114,5,16,18
"624",1,37,433,44603,79,5,17,19
"625",0,40,422,39020,153,5,16,18
"626",0,31,457,40237,158,5,16,19
"627",1,38,446,43993,44,5,17,19
"628",0,42,429,37040,89,5,16,17
"629",0,47,447,42437,74,6,17,19
"630",0,29,409,40820,44,6,16,19
"631",0,38,443,39697,108,5,17,19
"632",0,28,442,39898,66,5,16,18
"633",1,39,432,45113,97,6,17,19
"634",0,29,419,39936,130,5,16,18
"635",0,33,429,44627,110,5,16,18
"636",1,30,456,46285,94,5,17,18
"637",1,37,441,43362,36,5,17,19
"638",0,22,430,36767,87,5,16,18
"639",1,35,418,43310,105,5,17,19
"640",0,29,446,40980,24,5,17,18
"641",0,39,441,40869,75,5,16,17
"642",0,45,457,41294,157,5,17,19
"643",1,42,461,45584,134,6,17,19
"644",1,36,419,44364,38,5,17,19
"645",0,38,442,39957,127,6,17,18
"646",1,35,426,47977,127,5,17,19
"647",1,49,423,44729,91,5,17,19
"648",1,40,447,45528,23,5,18,19
"649",1,41,447,43242,58,6,17,19
"650",1,59,465,45744,15,5,17,20
"651",1,47,451,46016,20,6,18,19
"652",1,28,460,45637,33,6,17,20
"653",1,43,457,46530,135,5,17,19
"654",1,42,440,44146,97,6,17,19
"655",0,47,449,40409,20,6,17,18
"656",0,36,413,39219,113,5,17,18
"657",0,35,422,40878,24,6,17,18
"658",1,32,423,45241,8,6,17,19
"659",0,36,423,42361,142,5,17,19
"660",0,38,423,41368,112,5,17,18
"661",0,39,409,41461,113,6,16,19
"662",1,34,456,45353,54,6,18,19
"663",0,40,416,40949,106,6,17,18
"664",0,54,449,44201,57,5,17,18
"665",0,42,416,42844,76,5,17,18
"666",1,34,439,45108,61,5,17,19
"667",0,22,452,41446,21,5,17,17
"668",0,45,448,38237,56,5,16,17
"669",1,37,420,43322,63,6,16,18
"670",0,29,424,41351,105,6,17,18
"671",1,47,436,45847,106,6,17,20
"672",0,43,428,39656,88,5,16,18
"673",1,44,410,45517,52,5,17,19
"674",0,32,447,43750,101,6,17,18
"675",1,48,455,45896,16,6,18,20
"676",1,29,451,48395,8,6,18,19
"677",1,28,468,46780,63,5,17,18
"678",0,30,451,43322,42,5,17,20
"679",1,35,442,47693,64,5,18,19
"680",0,42,454,41576,91,5,17,19
"681",0,40,434,45629,95,5,17,19
"682",1,39,441,41209,43,5,17,18
"683",1,38,465,42853,99,5,17,18
"684",1,38,440,45223,114,5,17,19
"685",1,35,428,43867,48,6,17,18
"686",1,28,446,45612,126,5,17,18
"687",1,41,428,40891,71,5,17,18
"688",1,36,460,44495,18,6,17,19
"689",0,32,402,36633,154,5,16,18
"690",1,39,468,41350,121,5,17,19
"691",1,48,432,44892,103,5,17,19
"692",0,21,477,41460,53,5,16,19
"693",0,30,461,38492,188,5,16,18
